Product Category,Product Group,Product Brand,Item/Model,Description/Type,Colour,Size,Ltd Stock,Our Part No.,RRP,Q Trade,Barcode,Cost Price,Supplier
Accessories,Bags - Bikepacking,Passport,Frame Pack,Frame Bag - 210D Nylon - EZ find inner. Capacity 2.1L,Grey,Sm,,BAPPFP1X,34.99,17.5,5051699056651,19.44,Ison
Accessories,Bags - Bikepacking,Passport,Frame Pack,Frame Bag - 210D Nylon - EZ find inner. Capacity 3.3L,Grey,Md,,BAPPFP2X,37.5,18.75,5051699056293,20.83,Ison
Accessories,Bags - Bikepacking,Passport,Frame Pack,Frame Bag - 210D Nylon - EZ find inner. Capacity 4.8L,Grey,Large,,BAPPFP3X,39.99,20,5051699055319,22.22,Ison
Accessories,Bags - Bikepacking,Passport,Handlebar Pack,"H-Bar bag - 210D Nylon, double roll ends, waterproof - Capacity 11L",Grey,Large,,BAPPHBPX,39.99,20,5051699055333,22.22,Ison
Accessories,Bags - Bikepacking,Passport,Seat Pack,Seat bag - 210D Nylon w 500D Tarpaulin and waterproof liner - Capacity 7L,Grey,Md,,BAPPSP1X,64.99,32.5,5051699055340,36.11,Ison
Accessories,Bags - Bikepacking,Passport,Seat Pack,Seat bag - 210D Nylon w 500D Tarpaulin and waterproof liner Capacity 9.8L,Grey,Large,,BAPPSP3X,69.99,34.99,5051699055357,38.88,Ison
Accessories,Bags - Bikepacking,Passport,Top Tube Pack,"Top Tube bag - 210D Nylon, Touch phone top. - Capacity 1.8L",Grey,Sm,,BAPPTTPX,24.99,12.49,5051699055326,13.88,Ison
Accessories,Bags - Bikepacking,Tioga,ADV Seat Bag,Seat Bag  - Capacity 5L,Black,5L,Ltd Availability,BATGASP5K,39.99,20,,22.22,Ison
Accessories,Bags - Frame,M-Wave,Rotterdam L Toptube bag,"with Phone window, Nylon, Velcro fix, 170Lx80Hx80W",Black,Large,,BAMWRTTLK,7.99,4,4015493120971,4.44,Ison
Accessories,Bags - Frame,Surly - Parts,Big Dummy Deck Bar,4mm Alloy Cargo Deck to suit Big Dummy Frames/Bikes,Black,,Mixed Qty,RASUBDDB,99.99,,708752285866,66.66,Ison
Accessories,Bags - Frame,Surly - Parts,Big Dummy Deck,4mm Alloy Cargo Deck to suit Big Dummy Frames/Bikes,Black,,Mixed Qty,RASUBDDK,89.99,,708752089075,57.1,Ison
Accessories,Bags - Frame,Surly - Parts,Big Dummy Deck Pad,4mm Alloy Cargo Deck to suit Big Dummy Frames/Bikes,Black,,Mixed Qty,RASUBDDPK,44.99,,708752285880,29.99,Ison
Accessories,Bags - Frame,Surly - Parts,Big Dummy Kid Corral,4mm Alloy Cargo Deck to suit Big Dummy Frames/Bikes,Black,,Mixed Qty,RASUBDKC,379.99,,708752285842,253.33,Ison
Accessories,Bags - Frame,Surly - Parts,Big Dummy Racks,Tubular Alloy Cargo Racks to suit Big Dummy Frames/Bikes,Black,,Mixed Qty,RASUBDR,89.99,,708752089082,57.1,Ison
Accessories,Bags - Frame,Surly - Parts,Big Dummy Rail Collars,Collars to connect Dummy rails to the Big Dummy frame,Black,,Mixed Qty,RASUBDRC,39.99,,708752128217,25.37,Ison
Accessories,Bags - Handlebar,Dia-Compe,ENE Front Bag,Small Canvas Bag (120x160x115mm) for ENE front rack - Canvas,Natural,1.7L,,BADCEFCN,84.99,44.86,5051699049837,47.22,Ison
Accessories,Bags - Handlebar,M-Wave,Ottawa QR W-Proof handlebar bag,"Tarpaulin, semi-rigid body with QR mounting.  inc. Map holder.",Black,7L,,BAMWHCOT,49.99,24.99,4015493120643,27.77,Ison
Accessories,Bags - Handlebar,M-Wave,UTRECHT HC hardshell H-bar bag,Waterproof hard shell. Inc. QR H-bar bracket and Zip lid.,Black,8L,,BAMWHUH,34.99,17.5,887539014957,19.44,Ison
Accessories,Bags - Handlebar,M-Wave,Utrecht Eco h-bar bag,"Nylon Eco travel bag. Velcro fit. Easy access, 220mm wide.",Black,Small,,BAMWUEHB,9.99,5,887539028244,5.55,Ison
Accessories,Bags - Handlebar,M-Wave,Suburban Messenger h-bar bag,"E-Scooter suitable. Compact, W-proof. EZ Carry strap.",Grey,330Hx230W,,BAMWUMHB,21.99,11,887539030926,12.22,Ison
Accessories,Bags - Handlebar,Redshift Sports,Junk Drawer Bag,Handlebar Bag to suit Kitchen Sink Loop bars - Capacity 0.75-1.0L,Black,,Mixed Qty,BARE6301,79.99,,0850027370415,47.05,Ison
Accessories,Bags - Handlebar,Redshift Sports,Junk Drawer Bag Computer Mount,Garmin mount to suit Junk Drawer Bag,Black,Garmin,Mixed Qty,BARE6302,24.99,,0850027370422,14.7,Ison
Accessories,Bags - Handlebar,Redshift Sports,Junk Drawer Bag Computer Mount,Wahoo mount to suit Junk Drawer Bag,Black,Wahoo,Mixed Qty,BARE6303,24.99,,0850027370439,14.7,Ison
Accessories,Bags - Handlebar,Redshift Sports,Top Shelf Bag,Handlebar Bag to suit Top Shelf bars - Capacity 1.75L,Black,,Mixed Qty,BARE6304,99.99,,0850027370798,58.82,Ison
Accessories,Bags - Handlebar,Surly - Parts,Moloko Bar bag,"fits to Moloko bar - Large main compartment, waterproof liner",Black,,Mixed Qty,BASUH0121,74.99,,708752216051,42.85,Ison
Accessories,Bags - Handlebar,Surly - Parts,Dugout Feedbag,"Feedbag - Adjustable fit suits XXS-XXL frames, carries up to 1L containers",Black,,Mixed Qty,BASUH0395,39.99,,708752492035,22.85,Ison
Accessories,Bags - Other,Benno Bikes,Basket Liner Bag,Suit City Front tray basket,Black,Front,Mixed Qty,RABNB1018,64.99,,810076258638,43.33,Ison
Accessories,Bags - Other,Benno Bikes,RemiDemi XL Pannier Bag,Suit Remi Demi XL - 1pc,Black,Rear,Mixed Qty,RABNB2043,119.99,,810076258515,79.99,Ison
Accessories,Bags - Other,Benno Bikes,Utility Pannier Bag,Suit Carry-On/Boost - 1pc,Black,Rear,Mixed Qty,RABNB6014,159.99,,810076250335,106.66,Ison
Accessories,Bags - Other,Benno Bikes,Utility Front Tray Bag,Suit Carry-On/Boost,Black,Front,Mixed Qty,RABNB6015,139.99,,810076250342,93.33,Ison
Accessories,Bags - Other,Benno Bikes,RemiDemi Pannier Bag,Suit Remi Demi - 1pc,Black,Rear,Mixed Qty,RABNB6016,99.99,,810076256658,66.66,Ison
Accessories,Bags - Other,Benno Bikes,City Pannier Bag,Suit eJoy/eScout - 1pc,Black,Rear,Mixed Qty,RABNB9001,139.99,,810076250472,93.33,Ison
Accessories,Bags - Other,Benno Bikes,XXL Trunk Bag,Suit Carry-On/Boost,Black,Rear,Mixed Qty,RABNB9002,249.99,,810076250489,166.66,Ison
Accessories,Bags - Other,M-Wave,TRAVELLERS XL bag,"100% W-proof, HD Tarpaulin, 114L Trailer or general XL bag.",Black,114L,,BAMWTRAVL,49.99,24.99,4015493120650,27.77,Ison
Accessories,Bags - Other,M-Wave,Single Road wheel bag.,Water restistant Nylon with internal pocket for parts,Black/Silver,"28""",,BAMWW28SK,22.99,11.49,4015493120254,12.77,Ison
Accessories,Bags - Other,M-Wave,Single MTB wheel bag.,Water restistant Nylon with internal pocket for parts,Black/Silver,"29""",,BAMWW29SK,26.99,13.49,4015493120896,14.99,Ison
Accessories,Bags - Other,Old Man Mountain,POC001 - Pinecone Pouch,Pinecone Pouch,Black,,Mixed Qty,BAOMPC01K,25,,602150477987,14.71,Ison
