SKU,StyleCode,Name,UPC,SRP,Colour,Size,BoxQuantity,ProductCategory,Brand,GoldPrice,Currency,Supplier
00.2018.022.002,2018022002,"Zipp Road Hub ZR1 Front Centerlock Disc Black, 20 Holes, 12x100 (Including End Caps) A1:  ",7.10846E+11,142,NO COLOUR,NO SIZE,,Wheel Spares,Zipp,76.53,GBP,Zyrofisher
00.2018.023.004,2018023004,"Zipp Road Hub ZR1 Rear Centerlock Disc Black, 20 Holes, 12x142 XDR Driver Body (Including End Caps) A1:  ",7.10846E+11,280,NO COLOUR,NO SIZE,,Wheel Spares,Zipp,153.07,GBP,Zyrofisher
00.2018.023.005,2018023005,"Zipp Road Hub ZR1 Rear Centerlock Disc Black, 20 Holes, 12x142 SRAM Driver Body (Including End Caps) A1:  ",7.10846E+11,280,NO COLOUR,NO SIZE,,Wheel Spares,Zipp,153.07,GBP,Zyrofisher
00.2418.140.000,00.2418.140.000,Sram Cassette XG-1295 Eagle 12 Speed: BLACK 10-50T,7.10846E+11,387,BLACK,10-50T,,COMPONENT,Sram,235.33,GBP,Zyrofisher
00.4118.406.000,00.4118.406.000,"RockShox Rear Shock Deluxe Nude RLC3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",7.10846E+11,415,NO COLOUR,NO SIZE,,Suspension,RockShox,224.48,GBP,Zyrofisher
00.4118.406.001,00.4118.406.001,"RockShox Rear Shock Deluxe Nude RL3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",7.10846E+11,415,NO COLOUR,NO SIZE,,Suspension,RockShox,224.48,GBP,Zyrofisher
00.4118.407.000,00.4118.407.000,"RockShox Rear Shock Deluxe Scott RL3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",7.10846E+11,404,NO COLOUR,NO SIZE,,Suspension,RockShox,219.12,GBP,Zyrofisher
00.4118.407.001,00.4118.407.001,"RockShox Rear Shock Deluxe Bold RL3 (185x55) DebonAir Linear 0Pos/0Neg Tokens, W/2 Efficiency Tokens, LM Tune,430Lockout, Trunnion/Standard,Top Fill(8x17 hardware) Bold Linkin 2022+C1:  ",7.10846E+11,404,NO COLOUR,NO SIZE,,Suspension,RockShox,219.12,GBP,Zyrofisher
00.4318.020.022,RS004318020022,Zipp Short MTB Fender 2022: RED ACCENT ,7.10846E+11,21,RED ACCENT,NO SIZE,,Mudguards,Zipp,9.54,GBP,Zyrofisher
00.4318.020.039,RS8020000,RockShox Universal MTB Fender 2022: PORTUGAL FLAG PRINT UNIVERSAL,7.10846E+11,21,PORTUGAL FLAG PRINT,UNIVERSAL,,Mudguards,RockShox,9.54,GBP,Zyrofisher
00.4318.020.040,RS8020000,RockShox Universal MTB Fender 2022: FRANCE FLAG PRINT UNIVERSAL,7.10846E+11,21,FRANCE FLAG PRINT,UNIVERSAL,,Mudguards,RockShox,9.54,GBP,Zyrofisher
00.4318.020.041,RS8020000,RockShox Universal MTB Fender 2022: BRAZIL FLAG PRINT UNIVERSAL,7.10846E+11,21,BRAZIL FLAG PRINT,UNIVERSAL,,Mudguards,RockShox,9.54,GBP,Zyrofisher
00.4318.020.042,RS8020000,RockShox Universal MTB Fender 2022: SPANISH FLAG PRINT UNIVERSAL,7.10846E+11,21,SPANISH FLAG PRINT,UNIVERSAL,,Mudguards,RockShox,9.54,GBP,Zyrofisher
00.4318.020.043,RS8020000,RockShox Universal MTB Fender 2022: ITALIAN FLAG PRINT UNIVERSAL,7.10846E+11,21,ITALIAN FLAG PRINT,UNIVERSAL,,Mudguards,RockShox,9.54,GBP,Zyrofisher
00.4318.020.044,RS8020000,RockShox Universal MTB Fender 2022: COLOMBIA FLAG PRINT UNIVERSAL,7.10846E+11,21,COLOMBIA FLAG PRINT,UNIVERSAL,,Mudguards,RockShox,9.54,GBP,Zyrofisher
00.4318.020.045,RS8020000,RockShox Universal MTB Fender 2022: DISTRESSED PRINT UNIVERSAL,7.10846E+11,21,DISTRESSED PRINT,UNIVERSAL,,Mudguards,RockShox,9.54,GBP,Zyrofisher
00.4318.020.046,RS8020000,RockShox Universal MTB Fender 2022: DISTRESSED OUTLINE PRINT UNIVERSAL,7.10846E+11,21,DISTRESSED OUTLINE P,UNIVERSAL,,Mudguards,RockShox,9.54,GBP,Zyrofisher
00.4318.020.047,RS8020000,RockShox Universal MTB Fender 2022: RED/ORANGE FADE UNIVERSAL,7.10846E+11,21,RED/ORANGE FADE,UNIVERSAL,,Mudguards,RockShox,9.54,GBP,Zyrofisher
00.4318.020.048,RS8020000,RockShox Universal MTB Fender 2022: BLUE/PINK FADE UNIVERSAL,7.10846E+11,21,BLUE/PINK FADE,UNIVERSAL,,Mudguards,RockShox,9.54,GBP,Zyrofisher
