System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,4260477077516,4260477077516,,,,AERON MTB XLP 27.5-29 1.7-2.5 PST,Extra UK,,,Aeron TPU,,,19.99,,AERON - INNERTUBES,,,
,4260477077417,4260477077417,,,,AERON CITY/TOUR UP 650-700 50-65 PST 42,Extra UK,,,Aeron TPU,,,24.99,,AERON - INNERTUBES,,,
,4260477077424,4260477077424,,,,AERON CITY/TOUR UP 650-700 50-65 SHR 40,Extra UK,,,Aeron TPU,,,24.99,,AERON - INNERTUBES,,,
,4260477077431,4260477077431,,,,AERON CITY/TOUR UP 700 37-50 PST 42,Extra UK,,,Aeron TPU,,,24.99,,AERON - INNERTUBES,,,
,4260477077448,4260477077448,,,,AERON CITY/TOUR UP 700 37-50 SHR 40,Extra UK,,,Aeron TPU,,,24.99,,AERON - INNERTUBES,,,
,4260477077455,4260477077455,,,,AERON CX/GRV XLP 650-700 32-52 PST 42,Extra UK,,,Aeron TPU,,,19.99,,AERON - INNERTUBES,,,
,4260477077462,4260477077462,,,,AERON CX/GRV XLP 27.5-29 32-52 PST 65,Extra UK,,,Aeron TPU,,,19.99,,AERON - INNERTUBES,,,
,4260477077479,4260477077479,,,,AERON CX/GRV SLR AL 650-700  32-52 PST 42,Extra UK,,,Aeron TPU,,,27.99,,AERON - INNERTUBES,,,
,4260477077486,4260477077486,,,,AERON CX/GRV SLR AL 650-700 32-52 PST 65,Extra UK,,,Aeron TPU,,,29.99,,AERON - INNERTUBES,,,
,4260477077493,4260477077493,,,,AERON CX/GRV UP 650-700 32-52 PST 42,Extra UK,,,Aeron TPU,,,24.99,,AERON - INNERTUBES,,,
,4260477077509,4260477077509,,,,AERON CX/GRV UP 650-700 32-52 PST 65,Extra UK,,,Aeron TPU,,,24.99,,AERON - INNERTUBES,,,
,4260477078322,4260477078322,,,,AERON CX/GRV XLP AL 650-700 32-52 PST 42,Extra UK,,,Aeron TPU,,,25.99,,AERON - INNERTUBES,,,
,4260477077523,4260477077523,,,,AERON MTB SLR AL 27.5-29 1.7-2.5 PST,Extra UK,,,Aeron TPU,,,27.99,,AERON - INNERTUBES,,,
,4260477077530,4260477077530,,,,AERON MTB UP 27.5-29 1.7-2.5 PST,Extra UK,,,Aeron TPU,,,24.99,,AERON - INNERTUBES,,,
,4260477077547,4260477077547,,,,AERON MTB UP 27.5-29 2.5-3.0 PST,Extra UK,,,Aeron TPU,,,24.99,,AERON - INNERTUBES,,,
,4260477077554,4260477077554,,,,AERON ROAD XLP 700 23-28 PST 42,Extra UK,,,Aeron TPU,,,19.99,,AERON - INNERTUBES,,,
,4260477077561,4260477077561,,,,AERON ROAD XLP 700 23-28 PST 65,Extra UK,,,Aeron TPU,,,19.99,,AERON - INNERTUBES,,,
,4260477077578,4260477077578,,,,AERON ROAD XLP 700 23-28 PST 80,Extra UK,,,Aeron TPU,,,19.99,,AERON - INNERTUBES,,,
,4260477077585,4260477077585,,,,AERON ROAD XLP 700 28-32 PST 42,Extra UK,,,Aeron TPU,,,19.99,,AERON - INNERTUBES,,,
,4260477077592,4260477077592,,,,AERON ROAD XLP 700 28-32 PST 65,Extra UK,,,Aeron TPU,,,19.99,,AERON - INNERTUBES,,,
,4260477077608,4260477077608,,,,AERON ROAD XLP 700 28-32 PST 80,Extra UK,,,Aeron TPU,,,19.99,,AERON - INNERTUBES,,,
,4260477077615,4260477077615,,,,AERON ROAD SLR AL 700 23-28 PST 42,Extra UK,,,Aeron TPU,,,27.99,,AERON - INNERTUBES,,,
,4260477077622,4260477077622,,,,AERON ROAD SLR AL 700 23-28 PST 65,Extra UK,,,Aeron TPU,,,29.99,,AERON - INNERTUBES,,,
,4260477077639,4260477077639,,,,AERON ROAD SLR AL 700 23-28 PST 80,Extra UK,,,Aeron TPU,,,32.99,,AERON - INNERTUBES,,,
,4260477077646,4260477077646,,,,AERON ROAD SLR AL 700 28-32 PST 42,Extra UK,,,Aeron TPU,,,27.99,,AERON - INNERTUBES,,,
,4260477077653,4260477077653,,,,AERON ROAD SLR AL 700 28-32 PST 65,Extra UK,,,Aeron TPU,,,29.99,,AERON - INNERTUBES,,,
,4260477077660,4260477077660,,,,AERON ROAD SLR AL 700 28-32 PST 80,Extra UK,,,Aeron TPU,,,32.99,,AERON - INNERTUBES,,,
,4260477077707,4260477077707,,,,AERON ROAD UP 700 25-35 PST 42,Extra UK,,,Aeron TPU,,,24.99,,AERON - INNERTUBES,,,
,4260477077714,4260477077714,,,,AERON ROAD UP 700C 25-35 PST 65,Extra UK,,,Aeron TPU,,,24.99,,AERON - INNERTUBES,,,
,4260477078339,4260477078339,,,,AERON ROAD XLP AL 700 23-28 PST 65,Extra UK,,,Aeron TPU,,,25.99,,AERON - INNERTUBES,,,
,4260477078346,4260477078346,,,,AERON ROAD XLP AL 700 28-32 PST 65,Extra UK,,,Aeron TPU,,,25.99,,AERON - INNERTUBES,,,
,4260477077738,4260477077738,,,,AERON GLUELESS PATCH KIT,Extra UK,,,Aeron TPU,,,5.99,,AERON - ACCESSORIES,,,
,8437023467459,8437023467459,,,,AMS STERRATO BAR TAPE BLACK,Extra UK,,,All Mountain Style,,,42,,AMS HANDLEBAR TAPE,,,
,8437023467664,8437023467664,,,,AMS STERRATO BAR TAPE GREY,Extra UK,,,All Mountain Style,,,42,,AMS HANDLEBAR TAPE,,,
,797822098925,797822098925,,,,AMS CRANK DEFENDER BLACK,Extra UK,,,All Mountain Style,,,18,,AMS CRANK DEFENDER,,,
,797822098949,797822098949,,,,AMS CRANK DEFENDER GREEN,Extra UK,,,All Mountain Style,,,18,,AMS CRANK DEFENDER,,,
,040361015190,040361015190,,,,AMS CRANK DEFENDER ORANGE,Extra UK,,,All Mountain Style,,,18,,AMS CRANK DEFENDER,,,
,797822098932,797822098932,,,,AMS CRANK DEFENDER RED,Extra UK,,,All Mountain Style,,,18,,AMS CRANK DEFENDER,,,
,8437023467282,8437023467282,,,,AMS FRAME GUARD E-BIKE CLEAR/SILVER,Extra UK,,,All Mountain Style,,,84,,AMS FRAME GUARDS,,,
,8437023467305,8437023467305,,,,AMS GRAVEL/ROAD TOTAL CLEAR,Extra UK,,,All Mountain Style,,,60,,AMS FRAME GUARDS,,,
