Brand,Category,StockCode,Description,Barcode,Box Quantity,BOX CHECK,RRP,Price A,Price B,Qty B,Price C,Qty C,Price D,Qty D,Supplier
Aeron TPU,AERON - INNERTUBES,AE-33320000,AERON MTB XLP 27.5-29 1.7-2.5 PST,4260477077516,1,OK,19.99,10.827916666666667,9.995,5,9.661833333333332,10,9.661833333333332,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33300004,AERON CITY/TOUR UP 650-700 50-65 PST 42,4260477077417,1,OK,24.99,13.536249999999999,12.495,5,12.0785,10,12.0785,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33300005,AERON CITY/TOUR UP 650-700 50-65 SHR 40,4260477077424,1,OK,24.99,13.536249999999999,12.495,5,12.0785,10,12.0785,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33300006,AERON CITY/TOUR UP 700 37-50 PST 42,4260477077431,1,OK,24.99,13.536249999999999,12.495,5,12.0785,10,12.0785,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33300007,AERON CITY/TOUR UP 700 37-50 SHR 40,4260477077448,1,OK,24.99,13.536249999999999,12.495,5,12.0785,10,12.0785,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33310000,AERON CX/GRV XLP 650-700 32-52 PST 42,4260477077455,1,OK,19.99,10.827916666666667,9.995,5,9.661833333333332,10,9.661833333333332,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33310001,AERON CX/GRV XLP 27.5-29 32-52 PST 65,4260477077462,1,OK,19.99,10.827916666666667,9.995,5,9.661833333333332,10,9.661833333333332,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33310002,AERON CX/GRV SLR AL 650-700  32-52 PST 42,4260477077479,1,OK,27.99,15.161249999999999,13.995,5,13.5285,10,13.5285,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33310003,AERON CX/GRV SLR AL 650-700 32-52 PST 65,4260477077486,1,OK,29.99,16.24458333333333,14.995000000000001,5,14.495166666666666,10,14.495166666666666,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33310004,AERON CX/GRV UP 650-700 32-52 PST 42,4260477077493,1,OK,24.99,13.536249999999999,12.495,5,12.0785,10,12.0785,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33310005,AERON CX/GRV UP 650-700 32-52 PST 65,4260477077509,1,OK,24.99,13.536249999999999,12.495,5,12.0785,10,12.0785,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33310006,AERON CX/GRV XLP AL 650-700 32-52 PST 42,4260477078322,1,OK,25.99,14.077916666666665,12.995,5,12.561833333333333,10,12.561833333333333,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33320001,AERON MTB SLR AL 27.5-29 1.7-2.5 PST,4260477077523,1,OK,27.99,15.161249999999999,13.995,5,13.5285,10,13.5285,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33320002,AERON MTB UP 27.5-29 1.7-2.5 PST,4260477077530,1,OK,24.99,13.536249999999999,12.495,5,12.0785,10,12.0785,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33320003,AERON MTB UP 27.5-29 2.5-3.0 PST,4260477077547,1,OK,24.99,13.536249999999999,12.495,5,12.0785,10,12.0785,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330000,AERON ROAD XLP 700 23-28 PST 42,4260477077554,1,OK,19.99,10.827916666666667,9.995,5,9.661833333333332,10,9.661833333333332,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330001,AERON ROAD XLP 700 23-28 PST 65,4260477077561,1,OK,19.99,10.827916666666667,9.995,5,9.661833333333332,10,9.661833333333332,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330002,AERON ROAD XLP 700 23-28 PST 80,4260477077578,1,OK,19.99,10.827916666666667,9.995,5,9.661833333333332,10,9.661833333333332,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330003,AERON ROAD XLP 700 28-32 PST 42,4260477077585,1,OK,19.99,10.827916666666667,9.995,5,9.661833333333332,10,9.661833333333332,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330004,AERON ROAD XLP 700 28-32 PST 65,4260477077592,1,OK,19.99,10.827916666666667,9.995,5,9.661833333333332,10,9.661833333333332,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330005,AERON ROAD XLP 700 28-32 PST 80,4260477077608,1,OK,19.99,10.827916666666667,9.995,5,9.661833333333332,10,9.661833333333332,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330006,AERON ROAD SLR AL 700 23-28 PST 42,4260477077615,1,OK,27.99,15.161249999999999,13.995,5,13.5285,10,13.5285,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330007,AERON ROAD SLR AL 700 23-28 PST 65,4260477077622,1,OK,29.99,16.24458333333333,14.995000000000001,5,14.495166666666666,10,14.495166666666666,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330008,AERON ROAD SLR AL 700 23-28 PST 80,4260477077639,1,OK,32.99,17.86958333333334,16.495000000000005,5,15.945166666666669,10,15.945166666666669,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330009,AERON ROAD SLR AL 700 28-32 PST 42,4260477077646,1,OK,27.99,15.161249999999999,13.995,5,13.5285,10,13.5285,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330010,AERON ROAD SLR AL 700 28-32 PST 65,4260477077653,1,OK,29.99,16.24458333333333,14.995000000000001,5,14.495166666666666,10,14.495166666666666,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330011,AERON ROAD SLR AL 700 28-32 PST 80,4260477077660,1,OK,32.99,17.86958333333334,16.495000000000005,5,15.945166666666669,10,15.945166666666669,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330015,AERON ROAD UP 700 25-35 PST 42,4260477077707,1,OK,24.99,13.536249999999999,12.495,5,12.0785,10,12.0785,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330016,AERON ROAD UP 700C 25-35 PST 65,4260477077714,1,OK,24.99,13.536249999999999,12.495,5,12.0785,10,12.0785,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330018,AERON ROAD XLP AL 700 23-28 PST 65,4260477078339,1,OK,25.99,14.077916666666665,12.995,5,12.561833333333333,10,12.561833333333333,10,Extra UK
Aeron TPU,AERON - INNERTUBES,AE-33330019,AERON ROAD XLP AL 700 28-32 PST 65,4260477078346,1,OK,25.99,14.077916666666665,12.995,5,12.561833333333333,10,12.561833333333333,10,Extra UK
