SKU,StyleCode,Name,UPC,SRP,Colour,Size,BoxQuantity,ProductCategory,Brand,GoldPrice,Currency,Supplier
ASAMMBINWS,ASAmmBINWS,Ashima Action MTB Brake Inner Cable Workshop (100 Pack):  ,4.71283E+12,149,NO COLOUR,NO SIZE,1 box = 100 units,Brake and Gear Cables,Ashima,37.3,GBP,Zyrofisher (Box)
ASAMRBINWS,ASAMRBINWS,Ashima Action Road Brake Inner Cable Workshop (100 Pack):  ,4.71283E+12,149,NO COLOUR,NO SIZE,1 box = 100 units,Brake and Gear Cables,Ashima,37.3,GBP,Zyrofisher (Box)
ASAMUDINWS,ASAMUDINWS,Ashima Action Gear Inner Cable Workshop (100 Pack):  ,4.71283E+12,199,NO COLOUR,NO SIZE,1 box = 100 units,Brake and Gear Cables,Ashima,49.75,GBP,Zyrofisher (Box)
ASAMUUEN1BO,ASAMUUEN1B,Ashima Cable End Caps (Bottle Of 500): SILVER ,4.71283E+12,35,SILVER,NO SIZE,1 box = 500 units,Brake and Gear Cables,Ashima,8.8,GBP,Zyrofisher (Box)
ASAP47VWS,ASAP47VWS,Ashima V-Brake One Piece Shoe/Pad 70mm Workshop (Box 50):  ,4.71283E+12,199.5,NO COLOUR,NO SIZE,1 box = 50 units,Brake Pads,Ashima,49.9,GBP,Zyrofisher (Box)
ASAPMMBINWS,ASAPMMBINWS,Ashima Action Plus MTB Brake Inner Cable Workshop (100 Pack):  ,4.71283E+12,349,NO COLOUR,NO SIZE,1 box = 100 units,Brake and Gear Cables,Ashima,87.25,GBP,Zyrofisher (Box)
ASAPMRBINWS,ASAPMRBINW,Ashima Action Plus Road Brake Inner Cable Workshop (100 Pack):  ,4.71283E+12,349,NO COLOUR,NO SIZE,1 box = 100 units,Brake and Gear Cables,Ashima,87.25,GBP,Zyrofisher (Box)
ASAPMUDINWS,ASAPMUDINW,Ashima Action Plus Gear Inner Cable Workshop (100 Pack):  ,4.71283E+12,349,NO COLOUR,NO SIZE,1 box = 100 units,Brake and Gear Cables,Ashima,87.25,GBP,Zyrofisher (Box)
ASAR66WS,ASAR66WS,"Ashima One Piece Road Brake Shoe/Pad - Black AR66 105, Workshop (Box 50):  ",4.71283E+12,249.5,NO COLOUR,NO SIZE,1 box = 50 units,Brake Pads,Ashima,62.4,GBP,Zyrofisher (Box)
CH8006012E,CH8006012,SRAM Chain Qty 25 PC1130 Solid Pin 120 links PowerLock 11-Speed : SILVER 11 SPEED,7.10846E+11,24,SILVER,11 SPEED,1 box = 25 units,COMPONENT,Sram,336.5,GBP,Zyrofisher (Box)
CH8030013E,CH8030013,SRAM Chain Qty 25 GX Eagle Solid Pin 126 Links PowerLock 12-Speed: SILVER 12 SPEED,7.10846E+11,32,SILVER,12 SPEED,1 box = 25 units,COMPONENT,Sram,421.25,GBP,Zyrofisher (Box)
CHPC830E,CHPC830E,SRAM PC830 7/8spd Chain Grey (114 Links) (BULK - 25pcs): GREY 7/8 SPEED,7.10845E+11,9,GREY,7/8 SPEED,1 box = 25 units,COMPONENT,Sram,126.75,GBP,Zyrofisher (Box)
CHPC850E,CHPC850E,SRAM PC850 7/8spd Chain Grey (114 Links) (BULK - 25pcs): GREY 7/8 SPEED,7.10845E+11,15,GREY,7/8 SPEED,1 box = 25 units,COMPONENT,Sram,185.75,GBP,Zyrofisher (Box)
CHPC951E,CHPC951E,SRAM PC951 9spd Chain Grey (114 Links) (BULK - 25pcs): GREY 9 SPEED,7.10845E+11,18,GREY,9 SPEED,1 box = 25 units,COMPONENT,Sram,232.75,GBP,Zyrofisher (Box)
CHPC971E,CHPC971E,SRAM PC971 9spd Chain Silver/Grey (114 Links) (BULK -25pcs): SILVER 9 SPEED,7.10845E+11,22,SILVER,9 SPEED,1 box = 25 units,COMPONENT,Sram,302.25,GBP,Zyrofisher (Box)
CHPX13E,CHPX13E,SRAM PC1031 10spd Chain Silver/Grey 114 Link (BULK - 25pcs): GREY 10 SPEED,7.10846E+11,20,GREY,10 SPEED,1 box = 25 units,COMPONENT,Sram,302.25,GBP,Zyrofisher (Box)
FECAS80T,FECRANSZ,Fenwick's Ceramic Anti Seize Tube:  80ML,5.06001E+12,12,NO COLOUR,80ML,1 box = 20 units,Lubes & Grease,Fenwick's,5,GBP,Zyrofisher (Box)
FEDISC20,FEDISC20,Fenwick's Disc Brake Cleaner 200ml:  ,5.06001E+12,5.99,NO COLOUR,NO SIZE,1 box = 10 units,Cleaners & Degreasers,Fenwick's,27.45,GBP,Zyrofisher (Box)
FEDISC50,FEDISC50,Fenwick's Disc Brake Cleaner 500ml:  ,5.06001E+12,11.99,NO COLOUR,NO SIZE,1 box = 10 units,Cleaners & Degreasers,Fenwick's,54.95,GBP,Zyrofisher (Box)
FEFAST50,FEFAST50,Fenwick's Drivetrain Degreaser 500ml:  ,5.06001E+12,11.99,NO COLOUR,NO SIZE,1 box = 10 units,Cleaners & Degreasers,Fenwick's,54.95,GBP,Zyrofisher (Box)
FEFOAM20,FEFOAM20,Fenwick's Foaming Chain Cleaner 200ml:  ,5.06001E+12,5.99,NO COLOUR,NO SIZE,1 box = 10 units,Cleaners & Degreasers,Fenwick's,27.45,GBP,Zyrofisher (Box)
FEFOAM50,FEFOAM50,Fenwick's Foaming Chain Cleaner 500ml (box of 10):  ,5.06001E+12,11.99,NO COLOUR,NO SIZE,1 box = 10 units,Cleaners & Degreasers,Fenwick's,54.95,GBP,Zyrofisher (Box)
FEFS101,FEFS101,Fenwick's Bike Cleaner 1 Litre:  ,5.06001E+12,8.99,NO COLOUR,NO SIZE,1 box = 10 units,Cleaners & Degreasers,Fenwick's,41.2,GBP,Zyrofisher (Box)
FEFS11,FEFS11,Fenwick's Concentrated Bike Cleaner 1 Litre:  ,5.06001E+12,14.5,NO COLOUR,NO SIZE,1 box = 10 units,Cleaners & Degreasers,Fenwick's,66.46,GBP,Zyrofisher (Box)
FEHC150,FEHC1,Fenwick's Hand Cleaner 500ml:  ,5.06001E+12,6.99,NO COLOUR,NO SIZE,1 box = 10 units,Cleaners & Degreasers,Fenwick's,32.04,GBP,Zyrofisher (Box)
FELUBE20,FELUBE20,Fenwick's Multi-Purpose Lubricant 200ml:  ,5.06001E+12,5.99,NO COLOUR,NO SIZE,1 box = 10 units,Lubes & Grease,Fenwick's,24.96,GBP,Zyrofisher (Box)
