System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,710846000000,710846000000,00.2018.022.002,,00.2018.022.002,"Zipp Road Hub ZR1 Front Centerlock Disc Black, 20 Holes, 12x100 (Including End Caps) A1:  ",Zyrofisher,,,Zipp,,,,,,,,
,710846000000,710846000000,00.2018.023.004,,00.2018.023.004,"Zipp Road Hub ZR1 Rear Centerlock Disc Black, 20 Holes, 12x142 XDR Driver Body (Including End Caps) A1:  ",Zyrofisher,,,Zipp,,,,,,,,
,710846000000,710846000000,00.2018.023.005,,00.2018.023.005,"Zipp Road Hub ZR1 Rear Centerlock Disc Black, 20 Holes, 12x142 SRAM Driver Body (Including End Caps) A1:  ",Zyrofisher,,,Zipp,,,,,,,,
,710846000000,710846000000,00.2418.140.000,,00.2418.140.000,Sram Cassette XG-1295 Eagle 12 Speed: BLACK 10-50T,Zyrofisher,,,Sram,,,,,,,,
,710846000000,710846000000,00.4118.406.000,,00.4118.406.000,"RockShox Rear Shock Deluxe Nude RLC3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4118.406.001,,00.4118.406.001,"RockShox Rear Shock Deluxe Nude RL3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4118.407.000,,00.4118.407.000,"RockShox Rear Shock Deluxe Scott RL3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4118.407.001,,00.4118.407.001,"RockShox Rear Shock Deluxe Bold RL3 (185x55) DebonAir Linear 0Pos/0Neg Tokens, W/2 Efficiency Tokens, LM Tune,430Lockout, Trunnion/Standard,Top Fill(8x17 hardware) Bold Linkin 2022+C1:  ",Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4318.020.022,,00.4318.020.022,Zipp Short MTB Fender 2022: RED ACCENT ,Zyrofisher,,,Zipp,,,,,,,,
,710846000000,710846000000,00.4318.020.039,,00.4318.020.039,RockShox Universal MTB Fender 2022: PORTUGAL FLAG PRINT UNIVERSAL,Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4318.020.040,,00.4318.020.040,RockShox Universal MTB Fender 2022: FRANCE FLAG PRINT UNIVERSAL,Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4318.020.041,,00.4318.020.041,RockShox Universal MTB Fender 2022: BRAZIL FLAG PRINT UNIVERSAL,Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4318.020.042,,00.4318.020.042,RockShox Universal MTB Fender 2022: SPANISH FLAG PRINT UNIVERSAL,Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4318.020.043,,00.4318.020.043,RockShox Universal MTB Fender 2022: ITALIAN FLAG PRINT UNIVERSAL,Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4318.020.044,,00.4318.020.044,RockShox Universal MTB Fender 2022: COLOMBIA FLAG PRINT UNIVERSAL,Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4318.020.045,,00.4318.020.045,RockShox Universal MTB Fender 2022: DISTRESSED PRINT UNIVERSAL,Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4318.020.046,,00.4318.020.046,RockShox Universal MTB Fender 2022: DISTRESSED OUTLINE PRINT UNIVERSAL,Zyrofisher,,,RockShox,,,,,,,,
,710846000000,710846000000,00.4318.020.047,,00.4318.020.047,RockShox Universal MTB Fender 2022: RED/ORANGE FADE UNIVERSAL,Zyrofisher,,,RockShox,,,,,,,,
