System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,,,,,,"Zipp Road Hub ZR1 Front Centerlock Disc Black, 20 Holes, 12x100 (Including End Caps) A1:  ",Zyrofisher,,,,,,,,,,,
,,,,,,"Zipp Road Hub ZR1 Rear Centerlock Disc Black, 20 Holes, 12x142 XDR Driver Body (Including End Caps) A1:  ",Zyrofisher,,,,,,,,,,,
,,,,,,"Zipp Road Hub ZR1 Rear Centerlock Disc Black, 20 Holes, 12x142 SRAM Driver Body (Including End Caps) A1:  ",Zyrofisher,,,,,,,,,,,
,710845884757,710845884757,,,,Sram Cassette XG-1295 Eagle 12 Speed: BLACK 10-50T,Zyrofisher,,,,,,,,,,,
,710845883668,710845883668,,,,"Rockshox Rear Shock Super Deluxe Coil Ultimate RC2T -  Linearreb/Mcomp, 320lb Lockout, Hydraulic Bottom Out, Standard Bearing (Spring Sold Separate) B1 Transitionpatrol 2017: BLACK 230X65",Zyrofisher,,,,,,,,,,,
,710845882968,710845882968,,,,"RockShox Rear Shock Deluxe Nude RLC3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",Zyrofisher,,,,,,,,,,,
,710845882975,710845882975,,,,"RockShox Rear Shock Deluxe Nude RL3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",Zyrofisher,,,,,,,,,,,
,710845882982,710845882982,,,,"RockShox Rear Shock Deluxe Scott RL3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",Zyrofisher,,,,,,,,,,,
,710845882999,710845882999,,,,"RockShox Rear Shock Deluxe Bold RL3 (185x55) DebonAir Linear 0Pos/0Neg Tokens, W/2 Efficiency Tokens, LM Tune,430Lockout, Trunnion/Standard,Top Fill(8x17 hardware) Bold Linkin 2022+C1:  ",Zyrofisher,,,,,,,,,,,
,710845844232,710845844232,,,,Zipp Short MTB Fender 2022: RED ACCENT ,Zyrofisher,,,,,,,,,,,
,710845881633,710845881633,,,,RockShox Universal MTB Fender 2022: PORTUGAL FLAG PRINT UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881640,710845881640,,,,RockShox Universal MTB Fender 2022: FRANCE FLAG PRINT UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881657,710845881657,,,,RockShox Universal MTB Fender 2022: BRAZIL FLAG PRINT UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881664,710845881664,,,,RockShox Universal MTB Fender 2022: SPANISH FLAG PRINT UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881671,710845881671,,,,RockShox Universal MTB Fender 2022: ITALIAN FLAG PRINT UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881688,710845881688,,,,RockShox Universal MTB Fender 2022: COLOMBIA FLAG PRINT UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881695,710845881695,,,,RockShox Universal MTB Fender 2022: DISTRESSED PRINT UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881701,710845881701,,,,RockShox Universal MTB Fender 2022: DISTRESSED OUTLINE PRINT UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881718,710845881718,,,,RockShox Universal MTB Fender 2022: RED/ORANGE FADE UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881725,710845881725,,,,RockShox Universal MTB Fender 2022: BLUE/PINK FADE UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881732,710845881732,,,,RockShox Universal MTB Fender 2022: FULL CAMO WITH ORANGE LOGO UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881749,710845881749,,,,RockShox Universal MTB Fender 2022: FULL BLUE/PINK FADE WITH BLACK LOGO UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845881756,710845881756,,,,RockShox Universal MTB Fender 2022: FULL SILVER/WHITE FADE WITH BLACK LOGO UNIVERSAL,Zyrofisher,,,,,,,,,,,
,710845862304,710845862304,,,,"RockShox MTB Fender Black Short 3 Bolt  - Lyrik (D1+/2023+),Pike (C1+/2023+), Psylo(Short Fender Lower Leg only) A1+ (2024+) 2022:  ",Zyrofisher,,,,,,,,,,,
,710845869716,710845869716,,,,"RockShox Spare - Remote - Twistloc Base Full Sprint Left 3 Position (Includes Cables, Housing, Left And Right Grips) - 3 Position Remote Forks And Shocks B1:  ",Zyrofisher,,,,,,,,,,,
,,,,,,"Rockshox Rear Shock Du Bushing Sizing Tool 1/2""x1/2"" (For Sizing Bushings And Installing Hardware) - Rockshox:  ",Zyrofisher,,,,,,,,,,,
,710845742460,710845742460,,,,Sram Spare - Wheel Spare Parts Freehub Body With Bearings 9/10 Speed - X0 Hubs/Rise 60 (B1)/Roam 30/Roam 40/Rail 40/Rise XX/Roam 50/60 (B1):  9/10 SPEED,Zyrofisher,,,,,,,,,,,
,710845742477,710845742477,,,,Sram Spare - Wheel Spare Parts Freehub Body With Bearings 11 Speed XD - X0 Hubs/Rise 60 (B1)/Roam 30/Roam 40/Rail 40/Rise XX/Roam 50/60 (B1):  11 SPEED,Zyrofisher,,,,,,,,,,,
,710845741951,710845741951,,,,Sram Spare - Wheel Spare Parts Hub Bearing Set Front Double Time Includes 2-23327) - X0 Hubs/Rise 60 (B1)/Roam 30/Roam 40/Roam 50/60(B1)/Rail 40:  ,Zyrofisher,,,,,,,,,,,
,710845741968,710845741968,,,,SRAM Spare - Wheel Spare Parts Hub Bearing Set Rear Double Time (Includes1-6903/61903 & 1-63803D28) – Zipp Zm1/X0 Hubs/Rise 60 (B1)/Roam 30/Roam 40/Roam 50/60 (B1)/Rail 40:  ,Zyrofisher,,,,,,,,,,,
,710845742453,710845742453,,,,Sram Spare - Wheel Spare Parts Hub Bearing Set Freehub Double Time Includes 2-63803D28) -X0 Hubs/Rise60 (B1)/Roam 30/Roam 40/Roam 50/60 (B1)/Rail 40:  ,Zyrofisher,,,,,,,,,,,
,710845884863,710845884863,,,,Quarq Tyrewiz Valve And Bumper Syncros 12mm Rim Sym:  12MM,Zyrofisher,,,,,,,,,,,
,710845873416,710845873416,,,,RockShox Spare - Fork Compression Damper Knob Kit- Crown Race Day Damper (Includes Knob & Screw) - Rudy Ultimate A1 (2022) 2022:  ,Zyrofisher,,,,,,,,,,,
,,,,,,"Rockshox Fork Spring Dual Position Air Assembly - 27/29 Lyrik C1-C3, Yari B2-B3:  180MM",Zyrofisher,,,,,,,,,,,
,,,,,,"Rockshox Fork Spring Dual Position Air Assembly - 27/29 Lyrik C1-C3, Yari B2-B3:  170MM",Zyrofisher,,,,,,,,,,,
,,,,,,"Rockshox Fork Spring Dual Position Air Assembly - 27/29 Lyrik C1-C3, Yari B2-B3:  160MM",Zyrofisher,,,,,,,,,,,
,,,,,,"Rockshox Fork Spring Dual Position Air Assembly - 27/29 Lyrik C1-C3, Yari B2-B3:  150MM",Zyrofisher,,,,,,,,,,,
,,,,,,Rockshox Fork Spring Dual Position Air Assembly - 27/29 Pike B1-B4:  160MM,Zyrofisher,,,,,,,,,,,
