System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,80694044054,80694044054,MSC020006,,,,Chicken,,,Mavic,,7.28,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694275847,80694275847,MVA00610,,,,Chicken,,,Mavic,,6.47,,,"Accessories, Rim & Valve Accessories, ",,,
,80694295173,80694295173,MVA05002,,,,Chicken,,,Mavic,,26.7,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694440450,80694440450,MSC030015,,,,Chicken,,,Mavic,,6.97,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694440542,80694440542,MSC020001,,,,Chicken,,,Mavic,,12.24,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694440566,80694440566,MSC020002,,,,Chicken,,,Mavic,,12.24,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694520855,80694520855,MSC020004,,,,Chicken,,,Mavic,,22.01,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694543014,80694543014,MSC050025,,,,Chicken,,,Mavic,,37.35,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694543205,80694543205,MSC030009,,,,Chicken,,,Mavic,,32.54,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694557288,80694557288,MVA00611,,,,Chicken,,,Mavic,,10.52,,,"Accessories, Rim & Valve Accessories, ",,,
,80694605316,80694605316,MSC020003,,,,Chicken,,,Mavic,,13.79,,,"Spares, Tools & Spares, Wheel/Hub Spares, ",,,
,80694635757,80694635757,M50123RD,,,,Chicken,,,Mavic,,144.56,,,"Components, Wheels, MTB Wheels, ",,,
,80694635788,80694635788,M50123F,,,,Chicken,,,Mavic,,108.69,,,"Components, Wheels, MTB Wheels, ",,,
,80694635825,80694635825,M50123D,,,,Chicken,,,Mavic,,253.25,,,"Components, Wheels, MTB Wheels, ",,,
,80694650521,80694650521,MVA05001,,,,Chicken,,,Mavic,,26.7,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694664993,80694664993,M50113F,,,,Chicken,,,Mavic,,108.69,,,"Components, Wheels, MTB Wheels, ",,,
,80694669325,80694669325,M50113RC,,,,Chicken,,,Mavic,,144.56,,,"Components, Wheels, MTB Wheels, ",,,
,80694669394,80694669394,M50113D,,,,Chicken,,,Mavic,,253.25,,,"Components, Wheels, MTB Wheels, ",,,
,80694669448,80694669448,M50113RD,,,,Chicken,,,Mavic,,144.56,,,"Components, Wheels, MTB Wheels, ",,,
,80694685820,80694685820,MSC020005,,,,Chicken,,,Mavic,,7.59,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694723867,80694723867,MSC050108,,,,Chicken,,,Mavic,,7.28,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694742981,80694742981,MVA01103,,,,Chicken,,,Mavic,,7.28,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694744435,80694744435,MVA01501,,,,Chicken,,,Mavic,,7.28,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694744459,80694744459,MVA01001,,,,Chicken,,,Mavic,,9.44,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694762125,80694762125,MSC030017,,,,Chicken,,,Mavic,,5.58,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
,80694786244,80694786244,MSC100009,,,,Chicken,,,Mavic,,6.97,,,"Tools & Spares, Tools, Spoke Tools, ",,,
,80694793433,80694793433,MVA01901,,,,Chicken,,,Mavic,,8.9,,,"Tools & Spares, Spares, Wheel/Hub Spares, ",,,
