System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,5051699077052,5051699077052,,,,BMX Stem,Ison,,,4-Jeri,,,,,"Handlebars, Stems & Grips",,,
,887539025090,887539025090,,,,Smart Arse BMX OPC BB,Ison,,,4-Jeri,,,,,Bottom Brackets,,,
,5051699000371,5051699000371,,,,Gang BMX Chain,Ison,,,4-Jeri,,,,,Chains & Chain Devices,,,
,5051699000388,5051699000388,,,,Gang BMX Chain,Ison,,,4-Jeri,,,,,Chains & Chain Devices,,,
,5051699000425,5051699000425,,,,LG-50 7 or 8 Speed Chain,Ison,,,4-Jeri,,,,,Chains & Chain Devices,,,
,5051699000449,5051699000449,,,,Umbrella type Crank Bolts,Ison,,,4-Jeri,,,,,Cranks & Chainrings,,,
,5051699054466,5051699054466,,,,Single Speed Freewheel,Ison,,,4-Jeri,,,,,Hubs & Cassettes,,,
,5051699054473,5051699054473,,,,Single Speed Freewheel,Ison,,,4-Jeri,,,,,Hubs & Cassettes,,,
,5051699054480,5051699054480,,,,Single Speed Freewheel,Ison,,,4-Jeri,,,,,Hubs & Cassettes,,,
,5051699000531,5051699000531,,,,FPD Aheadset,Ison,,,4-Jeri,,,,,Headsets,,,
,4015493390169,4015493390169,,,,"1 1/8"" Threaded headset",Ison,,,4-Jeri,,,,,Headsets,,,
,0850058721774,0850058721774,,,,Aluminium 2B Stem - 35mm,Ison,,,5Dev,,,,,"Handlebars, Stems & Grips",,,
,0850058721781,0850058721781,,,,Aluminium 2B Stem - 35mm,Ison,,,5Dev,,,,,"Handlebars, Stems & Grips",,,
,0850042201008,0850042201008,,,,Titanium 2B Stem - 35mm,Ison,,,5Dev,,,,,"Handlebars, Stems & Grips",,,
,0850054022745,0850054022745,,,,Titanium 2B Stem - 35mm,Ison,,,5Dev,,,,,"Handlebars, Stems & Grips",,,
,0850042201572,0850042201572,,,,Titanium 2B Stem - 35mm,Ison,,,5Dev,,,,,"Handlebars, Stems & Grips",,,
,850076919641,850076919641,,,,Aluminium Bottom Bracket - BSA,Ison,,,5Dev,,,,,Bottom Brackets,,,
,0850058721903,0850058721903,,,,Titanium Bottom Bracket - BSA,Ison,,,5Dev,,,,,Bottom Brackets,,,
,850054022998,850054022998,,,,Titanium Bottom Bracket - T47,Ison,,,5Dev,,,,,Bottom Brackets,,,
,,,,,,Crank Spindle - 29mm Dub Boost,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850054022059,0850054022059,,,,Crank Spindle - 29mm Dub Boost,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850054022042,0850054022042,,,,Crank Spindle - 29mm Dub Boost,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850054022127,0850054022127,,,,Crank Spindle - 29mm Dub Boost,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850054022066,0850054022066,,,,Crank Spindle - 29mm Dub Boost,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850054022073,0850054022073,,,,Crank Spindle - 29mm Dub Boost,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850054022110,0850054022110,,,,Crank Spindle - 29mm Dub Boost,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850054022080,0850054022080,,,,Crank Spindle - 30mm,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850054022097,0850054022097,,,,Crank Spindle - 30mm,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850054022103,0850054022103,,,,Crank Spindle - 30mm,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,850076919658,850076919658,,,,Heavy Metal Downhill Spindles,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,850076919665,850076919665,,,,Heavy Metal Downhill Spindles,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850049514088,0850049514088,,,,R-SPEC eBike Crank Arms - Bosch/TQ/Avinox/Gen 4 Levo,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850049514095,0850049514095,,,,R-SPEC eBike Crank Arms - Bosch/TQ/Avinox/Gen 4 Levo,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850049514118,0850049514118,,,,R-SPEC eBike Crank Arms - Bosch/TQ/Avinox/Gen 4 Levo,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850049514064,0850049514064,,,,e-Bike ISIS Crankset,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850049514071,0850049514071,,,,e-Bike ISIS Crankset,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850042201138,0850042201138,,,,e-Bike ISIS Crankset,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850042201145,0850042201145,,,,e-Bike ISIS Crankset,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850058721293,0850058721293,,,,R-Spec eBIKE Levo SL Cranks,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
,0850058721309,0850058721309,,,,R-Spec eBIKE Levo SL Cranks,Ison,,,5Dev,,,,,Cranks & Chainrings,,,
