Account,Brand,Category,Category_Path,Stock_Code,Description,Barcode_1,Barcode_2,Assorted,Currency,SRP,Your_Price,Each_2,Qty_2,Each_3,Qty_3,Each_4,Qty_4,Supplier
,Y,GBP,99.99,50.00,1,45.83,3,41.66,6,,,,,,,,,Ison
,,GBP,5.99,3.24,1,2.99,5,2.89,10,,,,,,,,,Ison
,Y,GBP,24.99,13.54,1,12.50,5,12.08,10,,,,,,,,,Ison
,Y,GBP,24.99,13.54,1,12.50,5,12.08,10,,,,,,,,,Ison
,Y,GBP,24.99,13.54,1,12.50,5,12.08,10,,,,,,,,,Ison
,Y,GBP,24.99,13.54,1,12.50,5,12.08,10,,,,,,,,,Ison
,Y,GBP,25.99,14.08,1,13.00,5,12.56,10,,,,,,,,,Ison
,Y,GBP,19.99,10.83,1,10.00,5,9.66,10,,,,,,,,,Ison
,Y,GBP,19.99,10.83,1,10.00,5,9.66,10,,,,,,,,,Ison
,Y,GBP,27.99,15.16,1,14.00,5,13.53,10,,,,,,,,,Ison
,Y,GBP,29.99,16.24,1,14.99,5,14.49,10,,,,,,,,,Ison
,Y,GBP,19.99,10.83,1,10.00,5,9.66,10,,,,,,,,,Ison
,Y,GBP,27.99,15.16,1,14.00,5,13.53,10,,,,,,,,,Ison
,Y,GBP,25.99,14.08,1,13.00,5,12.56,10,,,,,,,,,Ison
,Y,GBP,25.99,14.08,1,13.00,5,12.56,10,,,,,,,,,Ison
,Y,GBP,19.99,10.83,1,10.00,5,9.66,10,,,,,,,,,Ison
,Y,GBP,19.99,10.83,1,10.00,5,9.66,10,,,,,,,,,Ison
,Y,GBP,19.99,10.83,1,10.00,5,9.66,10,,,,,,,,,Ison
,Y,GBP,19.99,10.83,1,10.00,5,9.66,10,,,,,,,,,Ison
,Y,GBP,19.99,10.83,1,10.00,5,9.66,10,,,,,,,,,Ison
,Y,GBP,19.99,10.83,1,10.00,5,9.66,10,,,,,,,,,Ison
,Y,GBP,27.99,15.16,1,14.00,5,13.53,10,,,,,,,,,Ison
,Y,GBP,29.99,16.24,1,14.99,5,14.49,10,,,,,,,,,Ison
,Y,GBP,32.99,17.87,1,16.49,5,15.94,10,,,,,,,,,Ison
,Y,GBP,27.99,15.16,1,14.00,5,13.53,10,,,,,,,,,Ison
,Y,GBP,29.99,16.24,1,14.99,5,14.49,10,,,,,,,,,Ison
,Y,GBP,32.99,17.87,1,16.49,5,15.94,10,,,,,,,,,Ison
,Y,GBP,15.00,8.12,1,7.50,2,6.88,4,,,,,,,,,Ison
,Y,GBP,18.00,9.75,1,9.00,5,8.25,10,,,,,,,,,Ison
,Y,GBP,18.00,9.75,1,9.00,5,8.25,10,,,,,,,,,Ison
,Y,GBP,18.00,9.75,1,9.00,5,8.25,10,,,,,,,,,Ison
797822098659,Y,GBP,30.00,16.25,1,15.00,5,13.75,10,,,,,,,,,Ison
797822098642,Y,GBP,30.00,16.25,1,15.00,5,13.75,10,,,,,,,,,Ison
797822098666,Y,GBP,30.00,16.25,1,15.00,5,13.75,10,,,,,,,,,Ison
,Y,GBP,20.00,10.84,1,10.00,2,9.17,4,,,,,,,,,Ison
797822098949,Y,GBP,20.00,10.84,1,10.00,2,9.17,4,,,,,,,,,Ison
040361015190,Y,GBP,20.00,10.84,1,10.00,2,9.17,4,,,,,,,,,Ison
797822098932,Y,GBP,20.00,10.84,1,10.00,2,9.17,4,,,,,,,,,Ison
,Y,GBP,25.00,13.54,1,12.50,5,11.46,10,,,,,,,,,Ison
040361015169,Y,GBP,25.00,13.54,1,12.50,5,11.46,10,,,,,,,,,Ison
614458962867,Y,GBP,30.00,16.25,1,15.00,5,13.75,10,,,,,,,,,Ison
755918299366,Y,GBP,32.00,17.34,1,16.00,5,14.67,10,,,,,,,,,Ison
614458962829,Y,GBP,32.00,17.34,1,16.00,5,14.67,10,,,,,,,,,Ison
797822098840,Y,GBP,30.00,16.25,1,15.00,5,13.75,10,,,,,,,,,Ison
755918299304,Y,GBP,28.00,15.16,1,14.00,5,12.83,10,,,,,,,,,Ison
040361015534,Y,GBP,32.00,17.34,1,16.00,5,14.67,10,,,,,,,,,Ison
614458962669,Y,GBP,29.00,15.71,1,14.50,5,13.29,10,,,,,,,,,Ison
755918299298,Y,GBP,28.00,15.16,1,14.00,5,12.83,10,,,,,,,,,Ison
797822098215,Y,GBP,30.00,16.25,1,15.00,5,13.75,10,,,,,,,,,Ison
797822098857,Y,GBP,32.00,17.34,1,16.00,5,14.67,10,,,,,,,,,Ison
614458962676,Y,GBP,30.00,16.25,1,15.00,5,13.75,10,,,,,,,,,Ison
,Y,GBP,85.00,46.04,1,42.50,5,38.96,10,,,,,,,,,Ison
797822098826,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
040361015091,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
040361015626,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
755918299328,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
040361015541,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
614458962683,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
040361015459,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
755918299311,Y,GBP,38.00,20.59,1,19.00,5,17.42,10,,,,,,,,,Ison
797822098789,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
040361015107,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
797822098260,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
040361015350,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
040361015398,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
797822098864,Y,GBP,40.00,21.66,1,20.00,5,18.33,10,,,,,,,,,Ison
040361015404,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
040361015497,Y,GBP,37.00,20.04,1,18.50,5,16.96,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
,Y,GBP,42.00,22.75,1,21.00,5,19.25,10,,,,,,,,,Ison
