Product Category,Product Group,Product Brand,Product Model,Product Type,Product Colour,Product Size,Short Description,Unit,Trade Price (Â£),Qty Price (Â£),Retail Price (Â£),Quantity Break,Barcode,Commodity Code,Product Name,Manufacturer Part Code,IDPartnumber,Supplier
"Handlebars, Stems & Grips",Stems - BMX,4-Jeri,BMX Stem,"Front Load Alloy with 4 bolt front cap, 22.2mm Bar Clamp - 11/8"" steerer",Black,48mm,4J Ft LOAD BMX STEM 48mm BLACK,Each,11.11,10.00,19.99,3,5051699077052,8714999089,BMX Stem,AS4JF848K,AS4JF848K,Ison
Bottom Brackets,Bottom Brackets - Loose Ball,4-Jeri,Smart Arse BB Set,"Steel, US Press-Fit Type, 9-Ball Cage, 24TPI for One Piece Cranks",Chrome,US,4-JERI SMART ARSE OPC BB Set C/P,Set,3.88,3.49,6.99,5,887539025090,8714969000,Smart Arse BMX OPC BB,BB4JSA,BB4JSA,Ison
Chains & Chain Devices,Chains - Single Speed,4-Jeri,Gang Chain,"1/2"" X 1/8"" - 102L",Chrome,"1/8""",4-JERI GANG CHAIN C/P,Each,4.99,4.49,8.99,10,5051699000371,7315111000,Gang BMX Chain,CH4JGANG,CH4JGANG,Ison
Chains & Chain Devices,Chains - Single Speed,4-Jeri,Gang Chain,"1/2"" X 1/8"" - 102L",Black,"1/8""",4-JERI GANG CHAIN BLACK,Each,4.00,3.60,7.99,10,5051699000388,7315111000,Gang BMX Chain,CH4JGANK,CH4JGANK,Ison
Chains & Chain Devices,Chains - Multi-Speed Derailleur,4-Jeri,LG-50 7/8sp,7/8sp Chain - Index Compatible - Chamfered Link,Black,116L,4-JERI 7/8sp CHAIN 116L BLK,Each,5.55,5.00,9.99,20,5051699000425,7315111000,LG-50 7 or 8 Speed Chain,CH4JS8S,CH4JS8S,Ison
Cranks & Chainrings,Crank Spares,4-Jeri,Pro-Style Crank Bolts,Spare Crank Fixing Bolts for 3pc Cr-Mo Crank (Umbrella Bolts),Chrome,M8,4-JERI PRO STYLE CRANK BOLTS (Pr),Pair,1.94,1.75,3.50,5,5051699000449,8714963090,Umbrella type Crank Bolts,CK4JPCB,CK4JPCB,Ison
Hubs & Cassettes,Freewheels,4-Jeri,BMX/Single Speed,"Freewheel 1/2 x 1/8"" - 2-Pawl",Chrome,16T,4-JERI SS 16T FREEWHEEL C/P,Each,6.00,5.40,11.99,5,5051699054466,8714930019,Single Speed Freewheel,FW4JS16N,FW4JS16N,Ison
Hubs & Cassettes,Freewheels,4-Jeri,BMX/Single Speed,"Freewheel 1/2 x 1/8"" - 2-Pawl",Chrome,17T,4-JERI SS 17T FREEWHEEL C/P,Each,6.00,5.40,11.99,5,5051699054473,8714930019,Single Speed Freewheel,FW4JS17N,FW4JS17N,Ison
Hubs & Cassettes,Freewheels,4-Jeri,BMX/Single Speed,"Freewheel 1/2 x 1/8"" - 2-Pawl",Chrome,18T,4-JERI SS 18T FREEWHEEL C/P,Each,6.00,5.40,11.99,5,5051699054480,8714930019,Single Speed Freewheel,FW4JS18N,FW4JS18N,Ison
Headsets,Headsets - Threadless,4-Jeri,FPD,"Steel, Loose Bearing Aheadset",Black,"11/8""",4J/NECO FPD T/LESS H/SET 11/8 BLK,Each,5.55,5.00,9.99,5,5051699000531,8714999089,FPD Aheadset,HD4JFPD,HD4JFPD,Ison
Headsets,Headsets - Threaded,4-Jeri,Steel Threaded,"Steel, Loose Bearing, 25.4x34x30.0mm",Black,"11/8""","4-JERI STEEL THR.H/SET 11/8""BLK",Each,4.99,4.49,8.99,5,4015493390169,8714999089,"1 1/8"" Threaded headset",HD4JS8K,HD4JS8K,Ison
"Handlebars, Stems & Grips",Stems - MTB - 35mm,5Dev,Alloy MTB Stem,"CNC Alloy, 2-Bolt clamp, 35mm Clamp (with 31.8mm shims)",Black,40mm,5DEV AL MTB STEM 35mm 40mm BLK,Each,93.24,81.08,149.99,0,0850058721774,8714999089,Aluminium 2B Stem - 35mm,SA-35X40-01,AS5DA2540K,Ison
"Handlebars, Stems & Grips",Stems - MTB - 35mm,5Dev,Alloy MTB Stem,"CNC Alloy, 2-Bolt clamp, 35mm Clamp (with 31.8mm shims)",Raw Silver,40mm,5DEV AL MTB STEM 35mm 40mm RAW,Each,93.24,81.08,149.99,0,0850058721781,8714999089,Aluminium 2B Stem - 35mm,SA-35X40-02,AS5DA2540S,Ison
"Handlebars, Stems & Grips",Stems - MTB - 35mm,5Dev,Titanium 2B Stem,"CNC Titanium, 2-Bolt clamp, 35mm Clamp (with 31.8mm shims)",Titanium,32mm,5DEV TITANIUM STEM 35mm 32mm NAT,Each,269.00,233.91,399.99,0,0850042201008,8714999089,Titanium 2B Stem - 35mm,ST01-35X32X0-T51,AS5DT2532N,Ison
"Handlebars, Stems & Grips",Stems - MTB - 35mm,5Dev,Titanium 2B Stem,"CNC Titanium, 2-Bolt clamp, 35mm Clamp (with 31.8mm shims)",Titanium,40mm,5DEV TITANIUM STEM 35mm 40mm NAT,Each,269.00,233.91,399.99,0,0850054022745,8714999089,Titanium 2B Stem - 35mm,ST01-35X40X0-T51,AS5DT2540N,Ison
"Handlebars, Stems & Grips",Stems - MTB - 35mm,5Dev,Titanium 2B Stem,"CNC Titanium, 2-Bolt clamp, 35mm Clamp (with 31.8mm shims)",Titanium,48mm,5DEV TITANIUM STEM 35mm 48mm NAT,Each,269.00,233.91,399.99,0,0850042201572,8714999089,Titanium 2B Stem - 35mm,ST01-35X48X0-T51,AS5DT2548N,Ison
Bottom Brackets,Bottom Brackets - Sealed,5Dev,Titanium Bottom Bracket,"Suit 68/73mm for 29mm DUB Axle, XD-15 Ceramic-Hybrid Bearings, Machined Alloy",Black,68/73mm,5DEV AL CERAMIC BB SET 29mm BSA 68/73mm,Set,134.49,116.95,199.99,0,850076919641,8714963090,Aluminium Bottom Bracket - BSA,ABSA29-01,BB5DAC2968,Ison
Bottom Brackets,Bottom Brackets - Sealed,5Dev,Titanium Bottom Bracket,"Suit 68/73mm for 29mm DUB Axle, XD-15 Ceramic-Hybrid Bearings, Machined Titanium",Natural,68/73mm,5DEV TITANIUM BB SET 29mm BSA 68/73mm,Set,336.25,292.39,499.99,0,0850058721903,8714963090,Titanium Bottom Bracket - BSA,BT29-51,BB5DTB2968,Ison
Bottom Brackets,Bottom Brackets - Sealed,5Dev,Titanium Bottom Bracket,"Suit T47  XD-15 Ceramic-Hybrid Bearings, Machined Titanium",Natural,T47,5DEV TITANIUM BB SET T47,Set,336.25,292.39,499.99,0,850054022998,8714963090,Titanium Bottom Bracket - T47,T47INT-51,BB5DTT47,Ison
