ProductCode,Name,CurrencyCode,BarCode,SRP,BoxQuantity,VATNotes,QuantityBreak1,Price1,QuantityBreak2,Price2,QuantityBreak3,Price3,QuantityBreak4,Price4,Supplier
00.2018.022.002,"Zipp Road Hub ZR1 Front Centerlock Disc Black, 20 Holes, 12x100 (Including End Caps) A1:  ",GBP,,142.00,,,1,76.53,,,,,,,Zyrofisher
00.2018.023.004,"Zipp Road Hub ZR1 Rear Centerlock Disc Black, 20 Holes, 12x142 XDR Driver Body (Including End Caps) A1:  ",GBP,,280.00,,,1,153.07,,,,,,,Zyrofisher
00.2018.023.005,"Zipp Road Hub ZR1 Rear Centerlock Disc Black, 20 Holes, 12x142 SRAM Driver Body (Including End Caps) A1:  ",GBP,,280.00,,,1,153.07,,,,,,,Zyrofisher
00.2418.140.000,Sram Cassette XG-1295 Eagle 12 Speed: BLACK 10-50T,GBP,710845884757,387.00,,,1,223.56,,,,,,,Zyrofisher
00.4118.406.000,"RockShox Rear Shock Deluxe Nude RLC3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",GBP,710845882968,415.00,,,1,213.26,,,,,,,Zyrofisher
00.4118.406.001,"RockShox Rear Shock Deluxe Nude RL3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",GBP,710845882975,415.00,,,1,213.26,,,,,,,Zyrofisher
00.4118.407.000,"RockShox Rear Shock Deluxe Scott RL3 (165x45) DebonAir Progressive 0Pos/0Neg Tokens, W/1 Efficiency Token, LM Tune,430Lockout, Trunnion/Standard,Top Fill(10x20 hardware) Scott Spark 2022+C1:  ",GBP,710845882982,404.00,,,1,208.16,,,,,,,Zyrofisher
00.4118.407.001,"RockShox Rear Shock Deluxe Bold RL3 (185x55) DebonAir Linear 0Pos/0Neg Tokens, W/2 Efficiency Tokens, LM Tune,430Lockout, Trunnion/Standard,Top Fill(8x17 hardware) Bold Linkin 2022+C1:  ",GBP,710845882999,404.00,,,1,208.16,,,,,,,Zyrofisher
00.4318.020.022,Zipp Short MTB Fender 2022: RED ACCENT ,GBP,710845844232,21.00,,,1,9.06,,,,,,,Zyrofisher
00.4318.020.039,RockShox Universal MTB Fender 2022: PORTUGAL FLAG PRINT UNIVERSAL,GBP,710845881633,21.00,,,1,9.06,,,,,,,Zyrofisher
