System ID,UPC,EAN,Custom SKU,Manufacturer SKU,Default Vendor ID,Description,Default Vendor,Item Type,Tax Class,Brand,Top Level Category,Default Cost,Price,Archived (Yes / No),Category,Quantity on Hand,Lifetime Quantity Sold,# of Sales
,,,,,,BROOKS RIVET BYB277,Extra UK,,,Brooks,,,0.99,,BROOKS SPARES UK,,,
,,,,,,BROOKS SHOULDER STRAP BARBICAN LONG BRN,Extra UK,,,Brooks,,,62.99,,BROOKS SPARES UK,,,
,,,,,,BROOKS SHOULDER STRAP BARBICAN STD BROWN,Extra UK,,,Brooks,,,62.99,,BROOKS SPARES UK,,,
,,,,,,BROOKS TENSION PIN 60MM WITH NUT BMP185,Extra UK,,,Brooks,,,6.5,,BROOKS SPARES UK,,,
,,,,,,BROOKS NOSE BYB292,Extra UK,,,Brooks,,,28.99,,BROOKS SPARES UK,,,
,,,,,,BROOKS TENSION PIN BYB338,Extra UK,,,Brooks,,,45.99,,BROOKS SPARES UK,,,
,,,,,,BROOKS TITANIUM TENSION SHACKLE BYB289,Extra UK,,,Brooks,,,17.5,,BROOKS SPARES UK,,,
,,,,,,BROOKS BAG LOOPS BYB294,Extra UK,,,Brooks,,,2.99,,BROOKS SPARES UK,,,
,,,,,,BROOKS BRACKET ASSY BYB471,Extra UK,,,Brooks,,,12.99,,BROOKS SPARES ITA,,,
,,,,,,CCDB O-RING 13.1x1.6,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - GUIDE SLEEVE 28mm,Extra UK,,,Cane Creek,,,9.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB REBUILD KIT COIL OIL,Extra UK,,,Cane Creek,,,37.99,,CC SPARES - SUSPENSION GENERAL PARTS,,,
,,,,,,CCDB INLINE AIR CAN INNER 59mm,Extra UK,,,Cane Creek,,,34.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB O-RING 7.65x1.78,Extra UK,,,Cane Creek,,,1.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR VALVE HOUSING GOLD,Extra UK,,,Cane Creek,,,8.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,DBINLINE - L-SHAPED BACKUP RING,Extra UK,,,Cane Creek,,,4.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,DBINLINE - END EYE STOP SHIM,Extra UK,,,Cane Creek,,,1.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB QUAD RING 122 28.25x2.6 HBNR,Extra UK,,,Cane Creek,,,8.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,DBAIR-IL TRUNNION BLADDER,Extra UK,,,Cane Creek,,,11.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB IL TRUNN - UPPER END EYE,Extra UK,,,Cane Creek,,,13.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB IL TRUNN - SPOOL VALVE,Extra UK,,,Cane Creek,,,14.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB IL G2 - OIL FILL SCREW,Extra UK,,,Cane Creek,,,8.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB IL TRUNNION - CS LEVER 3mm HEX KEY,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB IL - CS LEVER w/ TOOL BLK,Extra UK,,,Cane Creek,,,21.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - BOTTOM END EYE,Extra UK,,,Cane Creek,,,31.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - INNER AIR CAN 210mm,Extra UK,,,Cane Creek,,,49.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - INNER AIR CAN 190mm,Extra UK,,,Cane Creek,,,49.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - OUTER AIR CAN 210mm,Extra UK,,,Cane Creek,,,49.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - OUTER AIR CAN 190mm,Extra UK,,,Cane Creek,,,49.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - OUTER DAMPER TUBE 190mm,Extra UK,,,Cane Creek,,,26.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB IL G2 - INNER DAMPER TUBE 210mm,Extra UK,,,Cane Creek,,,49.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB IL G2 - INNER DAMPER TUBE 190mm,Extra UK,,,Cane Creek,,,49.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,DB-COIL IL G2 - OUTER DAMPER TUBE 210mm,Extra UK,,,Cane Creek,,,21.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,DB-COIL IL G2 - OUTER DAMPER TUBE 190mm,Extra UK,,,Cane Creek,,,21.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - SHAFT 210mm,Extra UK,,,Cane Creek,,,17.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - SHAFT 190mm,Extra UK,,,Cane Creek,,,17.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB COIL IL G2 - SHAFT 190mm,Extra UK,,,Cane Creek,,,21.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB COIL IL G2 - BOTTOM END EYE,Extra UK,,,Cane Creek,,,29.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - AIR PISTON L-RING,Extra UK,,,Cane Creek,,,11.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - AIR PISTON O-RING,Extra UK,,,Cane Creek,,,1.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB AIR-IL G2 - AIR CAN RETAIN RING,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB IL G2 - GLAND NUT,Extra UK,,,Cane Creek,,,11.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,DBAIR-IL - STROKE REDUCER 2.5mm,Extra UK,,,Cane Creek,,,3.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB IL G2 - O-RING CS VALVE 6x2mm,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,CCDB O-RING BUNA-N 50A 11x2mm,Extra UK,,,Cane Creek,,,3.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,C/C HELM AIR-COIL CONVERT KIT 275 w/o SPR,Extra UK,,,Cane Creek,,,179.99,,CC SPARES - SUSPENSION GENERAL PARTS,,,
,,,,,,C/C HELM AIR-COIL CONVERT KIT 29 w/o SPR,Extra UK,,,Cane Creek,,,179.99,,CC SPARES - SUSPENSION GENERAL PARTS,,,
,,,,,,HELM2 AIR SEAL HEAD RETAINING RING,Extra UK,,,Cane Creek,,,3.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,HELM2 OIL SEAL HEAD E-CLIP,Extra UK,,,Cane Creek,,,2.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,C/C BEARING HELLBENDER BB 24mm,Extra UK,,,Cane Creek,,,21.99,,CC SPARES - COMPONENTS,,,
,,,,,,EESILK STEM CS LEVER O-RING,Extra UK,,,Cane Creek,,,2.99,,CC SPARES - COMPONENTS,,,
,,,,,,KITSUMA COIL - SHAFT +1mm - 210,Extra UK,,,Cane Creek,,,14.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA COIL - SHAFT +1mm - 230,Extra UK,,,Cane Creek,,,14.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA COIL - SHAFT +1mm - 250,Extra UK,,,Cane Creek,,,17.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - OIL PISTON,Extra UK,,,Cane Creek,,,12.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - PISTON STOP WASHER,Extra UK,,,Cane Creek,,,4.49,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - OIL SEAL HEAD/AIR PISTON,Extra UK,,,Cane Creek,,,24.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - SHAFT BEARING,Extra UK,,,Cane Creek,,,12.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - L-RING -221,Extra UK,,,Cane Creek,,,17.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - INNER DAMPER TUBE - 210,Extra UK,,,Cane Creek,,,27.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - INNER DAMPER TUBE - 230,Extra UK,,,Cane Creek,,,27.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA - INNER DAMPER TUBE - 250,Extra UK,,,Cane Creek,,,27.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA COIL - OUTER DAMPER TUBE - 210,Extra UK,,,Cane Creek,,,24.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - OUTER DAMPER TUBE - 210,Extra UK,,,Cane Creek,,,34.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - OUTER DAMPER TUBE - 230,Extra UK,,,Cane Creek,,,34.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - OUTER DAMPER TUBE - 250,Extra UK,,,Cane Creek,,,34.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
,,,,,,KITSUMA AIR - QUAD RING -125,Extra UK,,,Cane Creek,,,8.99,,CC SPARES - INTERNAL SUSPENSION PARTS SC ONLY,,,
